Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Button Pressed,Correct Button,Cue Displayed,Late Response,Response Time,Response Window,Stimulus Color,Stimulus Shape,TaskSwitch State
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,0,118.487549,79.45336,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Shape,1,816,783,Orange,Moon,0
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,1,117.871,71.5426941,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Shape,0,567,823,Orange,Sun,2
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,2,117.950462,90.39804,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Color,0,450,783,Purple,Sun,1
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,3,117.5885,78.782196,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Purple Moon,0,Shape,0,533,773,Purple,Sun,1
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,4,117.3315,62.21891,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Color,0,350,813,Orange,Sun,1
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,5,117.971222,69.67822,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Color,0,367,813,Purple,Sun,2
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,6,117.329628,69.34652,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Shape,0,483,803,Purple,Moon,1
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,7,119.153038,82.14008,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Shape,0,483,793,Purple,Moon,2
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,8,119.143036,77.69824,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Orange Sun,1,Shape,0,434,763,Purple,Sun,2
nsinternal_vs,2020-05-24T03:46:33.026Z,2020-05-24T03:46:33.026Z,,default,9,118.267143,63.9421539,Successful,Real,N/A,Mac OS X 10_15_4,799,1198,1.16.36,Pacific Standard Time,0,Chrome 81,Desktop,Intel(R) Iris(TM) Plus Graphics 655,English,1,0,WebGLPlayer,256,0,Purple Moon,1,Color,0,416,783,Purple,Moon,1
