Participant Id,Time Gameplayed Utc,Time Sent Utc,Detail,Condition,Trial Number,FPS Mean,FPS Variance,Finish Status,Session Type,Finger Used,OS Version,Screen Height,Screen Width,Build,Client Time Zone,Device DPI,Device Model,Device Type,Graphics Device Name,I18n,Processor Count,Processor Frequency,Runtime Platform,System Memory Size,Times Finished Game,Correct Button,Inter Time Interval,Late Response,Response Time,Response Window
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Left,9,120.643013,105.04554,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,800,1,400,356
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Left,10,117.460327,123.502869,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1000,0,367,476
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Left,11,116.516144,65.40358,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1100,0,250,466
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Left,12,118.089767,87.32023,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,800,0,250,446
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Left,13,119.61451,126.779724,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,900,0,166,416
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Left,14,119.688637,121.652916,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1200,0,217,376
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Right,0,121.479774,109.64756,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1200,0,250,516
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Right,1,121.485275,101.250206,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,800,0,300,506
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Right,2,119.468491,97.7646942,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1000,0,267,486
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Right,3,118.818687,80.34831,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,900,0,450,456
nsinternal_am,2020-05-25T22:45:44.263Z,2020-05-25T22:45:44.263Z,,Right,4,117.710953,100.171242,Successful,Real,N/A,Mac OS X 10_13_6,511,1024,1.16.36,PST,0,Safari 12.1,Desktop,Intel Iris Pro OpenGL Engine,English,1,0,WebGLPlayer,256,0,1,1100,0,333,416
