"","TIME:","2017-09-08T09:26:35-0700","",""
"","USER ID:","ADMIN-UCSF-bo034","",""
"","User Name:","bo034","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"","Switch Ratio:","30%","",""
"Game Settings:","{
    Actual = 30;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Correct Button","Response Window","Response Time","Late Response","TaskSwitch State","TaskSwitch Type",
"1","160","416.0760045051575","1","1","1",
"1","120","381.8950057029724","1","2","1",
"1","150","384.01198387146","1","1","0",
"1","110","417.36900806427","1","2","0",
"0","140","399.8819589614868","1","1","1",
"1","100","382.3949694633484","1","2","1",
"0","90","415.7019853591919","1","2","1",
"1","2650","291.4420366287231","0","2","1",
"0","2640","248.7260103225708","0","2","1",
"1","2680","397.1860408782959","0","2","1",
"1","2670","287.5809669494629","0","2","1",






"","TIME:","2017-09-29T13:11:21-0700","",""
"","USER ID:","ADMIN-UCSF-pe018","",""
"","User Name:","pe018","",""
"","User Age:","13","",""
"","User Grade:","8","",""
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","38","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"","Switch Ratio:","30%","",""
"Game Settings:","{
    Actual = 30;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Correct Button","Response Window","Response Time","Late Response","TaskSwitch State","TaskSwitch Type",
"1","800","719.4969654083252","0","0","1",
"1","800","673.6250519752502","0","2","1",
"1","790","585.2270126342773","0","2","1",
"1","800","507.2219967842102","0","1","0",
"1","780","386.2529993057251","0","2","0",
"1","790","699.1580128669739","0","1","1",
"1","760","453.6100029945374","0","2","1",
"1","780","602.6650071144104","0","1","0",
"1","720","482.0950031280518","0","2","0",
"1","760","537.5450253486633","0","1","1",
"1","640","417.3740148544312","0","2","1",
"1","720","451.8460035324097","0","1","0",
"1","480","632.7170133590698","1","2","0",
"1","470","563.0780458450317","1","2","0",
"1","640","642.657995223999","1","1","1",
"1","460","651.6469717025757","1","2","1",
"1","450","515.9380435943604","1","2","1",
"0","630","N/A","1","1","0",
"1","440","451.0169625282288","1","2","0",
"1","430","428.3680319786072","0","2","0",
"1","670","479.1539907455444","0","1","1",
"1","420","532.1000218391418","1","2","1",
"1","660","468.6260223388672","0","1","0",
"1","410","429.7069907188416","1","2","0",
"1","400","312.9100203514099","0","2","0",
"1","650","482.6670289039612","0","1","1",
"0","390","N/A","1","2","1",
"1","430","557.3720335960388","1","2","1",
"1","420","616.038978099823","1","2","1",
"0","410","549.347996711731","1","2","1",






