"","TIME:","2017-09-28T09:03:57-0700","",""
"","USER ID:","ADMIN-UCSF-pe193","",""
"","User Name:","pe193","",""
"","User Age:","13","",""
"","User Grade:","8","",""
"","User Gender:","MALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","404","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","9.3.3","",""
"","Device Type:","iPad Mini 4", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 50;
    Adaptive = 1;
    ColorPractice = 15;
    ITI = 1000;
    MaxInterval = 800;
    "P-Start" = 1500;
    Practice = 10;
    Start = 800;
    TRI = 200;
}","",""
"Word Game",
"Correct Button","Color Shown","Response Window","Trial Type","Response Time","Late Response","Color Pressed",
"1","YELLOW","800","CONGRUENT","766.8949961662292","0","YELLOW",
"1","GREEN","790","CONGRUENT","422.7689504623413","0","GREEN",
"1","WHITE","800","INCONGRUENT","434.7849488258362","0","WHITE",
"0","YELLOW","780","CONGRUENT","N/A","1","N/A",
"0","WHITE","790","INCONGRUENT","616.9819831848145","0","YELLOW",
"1","WHITE","820","CONGRUENT","759.3820095062256","0","WHITE",
"1","YELLOW","810","CONGRUENT","658.7290167808533","0","YELLOW",
"1","GREEN","800","CONGRUENT","527.5660157203674","0","GREEN",
"1","GREEN","780","CONGRUENT","549.8189926147461","0","GREEN",
"1","YELLOW","830","INCONGRUENT","816.4310455322266","0","YELLOW",
"1","RED","740","CONGRUENT","540.5640006065369","0","RED",
"1","GREEN","660","CONGRUENT","591.268002986908","0","GREEN",
"1","YELLOW","820","INCONGRUENT","699.3640065193176","0","YELLOW",
"1","WHITE","500","CONGRUENT","807.3650002479553","1","WHITE",
"1","YELLOW","490","CONGRUENT","614.6789789199829","1","YELLOW",
"1","GREEN","480","CONGRUENT","409.3199968338013","0","GREEN",
"1","YELLOW","810","INCONGRUENT","626.196026802063","0","YELLOW",
"1","YELLOW","790","INCONGRUENT","754.8180222511292","0","YELLOW",
"1","YELLOW","750","INCONGRUENT","482.4810028076172","0","YELLOW",
"1","GREEN","470","CONGRUENT","624.3590116500854","1","GREEN",
"1","WHITE","460","CONGRUENT","640.5090093612671","1","WHITE",
"1","RED","450","CONGRUENT","699.705958366394","1","RED",
"1","GREEN","440","CONGRUENT","611.9149923324585","1","GREEN",
"1","RED","430","CONGRUENT","546.379029750824","1","RED",
"0","YELLOW","670","INCONGRUENT","N/A","1","N/A",
"1","YELLOW","420","CONGRUENT","658.0670475959778","1","YELLOW",
"0","YELLOW","710","INCONGRUENT","825.7690072059631","1","WHITE",
"1","GREEN","410","CONGRUENT","589.8770093917847","1","GREEN",
"1","GREEN","750","INCONGRUENT","544.9640154838562","0","GREEN",
"1","WHITE","400","CONGRUENT","688.1200075149536","1","WHITE",
"1","YELLOW","390","CONGRUENT","532.0549607276917","1","YELLOW",
"1","YELLOW","380","CONGRUENT","524.4330167770386","1","YELLOW",
"0","YELLOW","740","INCONGRUENT","536.2460017204285","0","GREEN",
"0","YELLOW","370","CONGRUENT","N/A","1","N/A",
"1","YELLOW","780","INCONGRUENT","571.7800259590149","0","YELLOW",
"1","YELLOW","10610","CONGRUENT","518.6319947242737","0","YELLOW",
"1","YELLOW","10600","CONGRUENT","448.7810134887695","0","YELLOW",
"1","RED","10590","CONGRUENT","668.7009930610657","0","RED",
"1","GREEN","770","INCONGRUENT","575.4070281982422","0","GREEN",
"1","RED","10570","CONGRUENT","592.6460027694702","0","RED",
"0","WHITE","10530","CONGRUENT","648.9970088005066","0","YELLOW",
"1","YELLOW","10570","CONGRUENT","998.2800483703613","0","YELLOW",
"1","GREEN","10560","CONGRUENT","608.8929772377014","0","GREEN",
"1","WHITE","760","INCONGRUENT","688.3770227432251","0","WHITE",
"1","GREEN","10550","CONGRUENT","598.7129807472229","0","GREEN",
"0","GREEN","740","INCONGRUENT","724.3510484695435","0","RED",
"1","YELLOW","10530","CONGRUENT","614.0360236167908","0","YELLOW",
"1","GREEN","10490","CONGRUENT","548.3099818229675","0","GREEN",
"1","RED","10410","CONGRUENT","630.9570074081421","0","RED",
"1","RED","10250","CONGRUENT","731.203019618988","0","RED",






"","TIME:","2017-10-03T09:08:14-0700","",""
"","USER ID:","ADMIN-UCSF-pe606","",""
"","User Name:","pe606","",""
"","User Age:","11","",""
"","User Grade:","6","",""
