"","TIME:","2017-09-08T09:49:36-0700","",""
"","USER ID:","ADMIN-UCSF-bo008","",""
"","User Name:","bo008","",""
"","User Age:","9","",""
"","User Grade:","4","",""
"","User Gender:","FEMALE","",""
"","User Handedness:","RIGHT","",""
"","iPad Number:","19","",""
"","Test Type:","Real","",""
"","Build Number:","17","",""
"","OS Version:","10.2.1","",""
"","Device Type:","iPad Mini 3rd Gen", "",""
"","ADAPTIVITY:","YES","",""
"Game Settings:","{
    Actual = 12;
    Adaptive = 1;
    ITI = 1000;
    MaxInterval = 1500;
    MemoryTime = 200;
    "P-Start" = 1500;
    Practice = 4;
    RetentionTime = 900;
    Start = 1000;
    TRI = 200;
    TestTime = 2000;
}","",""
"R4B0",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"0","1","-0.7853981852531433","1500","2","Easy","0.7853981852531433","N/A","0","4",
"0","1","0.7853981852531433","1500","2","Easy","-0.7853981852531433","N/A","0","4",


"R2B4",
"Correct Button","Cue Rotated","Original Orientation","Response Window","Blue Distractors","Difficulty Level","Degree of Change","Response Time","Late Response","Red Rectangles",
"1","0","-0.7853981852531433","1500","4","Easy","0","574.1539597511292","0","2",
"0","1","-0.7853981852531433","1500","4","Easy","0.7853981852531433","536.8950366973877","0","2",
"0","0","3.141592741012573","1500","4","Easy","0","637.6000046730042","0","2",
"1","1","3.141592741012573","1500","4","Easy","1.570796370506287","683.7159991264343","0","2",
"1","1","1.570796370506287","1500","4","Easy","-0.7853981852531433","735.9600067138672","0","2",
"0","1","3.141592741012573","1500","4","Medium","-0.5235987901687622","864.5769953727722","0","2",
"1","0","1.047197580337524","1500","4","Medium","0","863.0789518356323","0","2",
"1","0","-0.5235987901687622","1500","4","Medium","0","1048.098981380463","0","2",
"0","1","0.7853981852531433","1500","4","Hard","0.5235987901687622","531.2659740447998","0","2",
"0","1","-1.308996915817261","1500","4","Hard","1.570796370506287","474.2700457572937","0","2",
"1","0","1.047197580337524","1500","4","Medium","0","760.1040005683899","0","2",
"1","0","-0.7853981852531433","1500","4","Medium","0","647.146999835968","0","2",






"","TIME:","2017-09-26T09:22:02-0700","",""
"","USER ID:","ADMIN-UCSF-la177","",""
"","User Name:","la177","",""
"","User Age:","9","",""
"","User Grade:","4","",""
